Term,Expanded_Terms_Frequency
acute renal failure,99
hypertension,99
atrial fibrillation,86
anemia,75
coronary artery disease,65
hypotension,59
altered mental status,50
respiratory failure,39
chronic obstructive pulmonary disease,35
thrombocytopenia,33
diabetes mellitus,33
leukocytosis,32
pneumonia,31
sepsis,30
acute on chronic renal failure,25
hypoxia,25
hypertension:,21
hypoxic respiratory failure,21
diabetes mellitus type 2,20
diabetes,20
congestive heart failure,20
end-stage renal disease,20
gastrointestinal bleed,19
hyperlipidemia,19
hyperkalemia,16
renal failure,16
human immunodeficiency virus,16
hypothyroidism,15
respiratory distress,14
hypernatremia,14
tachycardia,13
hyponatremia,13
pulmonary embolism,12
gastrointestinal bleeding,12
cirrhosis,12
transaminitis,11
atrial fibrillation with rapid ventricular rate,11
chest pain,11
peripheral vascular disease,11
fever,10
pancytopenia,10
hematemesis,10
seizure,10
end-stage renal disease on hemodialysis,10
diabetic ketoacidosis,10
pain,10
hypotension:,9
non-small cell lung cancer,9
dyspnea,9
upper gastrointestinal bleeding,9
coagulopathy,9
ethanol withdrawal,9
septic shock,9
delirium,8
non-st elevation myocardial infarction,8
aspiration pneumonia,8
metabolic acidosis,8
hypercarbic respiratory failure,8
urinary tract infection,8
diastolic congestive heart failure,8
seizure disorder,8
hypertensive urgency,8
obstructive sleep apnea,7
fever:,7
diastolic heart failure,7
hypoglycemia,7
fevers,7
pancreatitis,7
aortic stenosis,7
acute respiratory distress syndrome,7
# coronary artery disease,6
abdominal pain,6
type 2 diabetes mellitus,6
depression,6
end-stage liver disease,6
hypothermia,6
atrial fibrillation:,6
ethanol abuse,6
hyperlipidemia:,6
altered mental status:,6
pleural effusion,6
dementia,6
pericardial effusion,6
atrial fibrillation with rapid ventricular response,6
asthma,6
cholangitis,5
acute on chronic systolic heart failure,5
hypoxemic respiratory failure,5
# acute renal failure,5
respiratory failure:,5
syncope,5
hepatic encephalopathy,5
cardiomyopathy,5
chronic renal failure,5
cellulitis,5
alcohol abuse,5
acute renal failure:,5
acute myeloid leukemia,5
bipolar disorder,5
hypoxia:,5
diabetes mellitus:,5
hypoxemia,5
sinus tachycardia,5
# hypertension,5
chronic systolic congestive heart failure,5
gastroesophageal reflux disease,5
chronic kidney disease,5
atrial flutter,5
# acute renal failure:,5
history of cerebrovascular accident,5
subdural hematoma,5
lymphoma,5
ventilator-associated pneumonia,5
anemia:,4
thrombocytopenia:,4
coronary artery disease status post coronary artery bypass grafting,4
chronic lymphocytic leukemia,4
coronary artery disease:,4
dyslipidemia,4
bacteremia,4
acute on chronic systolic congestive heart failure,4
human immunodeficiency virus/acquired immunodeficiency syndrome,4
alcohol withdrawal:,4
st-elevation myocardial infarction,4
pulmonary hypertension,4
chronic renal insufficiency,4
leukocytosis:,4
ventricular tachycardia,4
hyponatremia:,4
# respiratory failure,4
benign prostatic hyperplasia,4
myelodysplastic syndrome,4
systemic lupus erythematosus,4
"renal failure, acute (acute renal failure, acute renal failure)",4
shock,4
volume overload,4
diarrhea,4
lower gastrointestinal bleed,3
demand ischemia,3
spontaneous bacterial peritonitis,3
bleeding,3
heart failure,3
type ii diabetes,3
type 2 diabetes,3
paroxysmal atrial fibrillation,3
bronchiectasis,3
critical aortic stenosis,3
transaminitis:,3
anion gap acidosis,3
# hypotension,3
chronic atrial fibrillation,3
chronic diastolic congestive heart failure,3
respiratory failure.,3
acute blood loss anemia,3
hemoptysis,3
# coronary artery disease:,3
hypercholesterolemia,3
history of breast cancer,3
agitation,3
alcoholism,3
headache,3
# thrombocytopenia,3
hepatitis c cirrhosis,3
elevated troponin,3
st-elevation myocardial infarction:,3
# altered mental status,3
hypotension (not shock),3
chronic back pain,3
adrenal insufficiency,3
seizures,3
diabetic ketoacidosis:,3
nausea/vomiting,3
anxiety:,3
pancreatic cancer,3
non-st-elevation myocardial infarction,3
stroke,3
acute respiratory failure,3
ileus,3
